contenedor_key,contenedor_id,pedido,parcial,naviera,puerto,deposito_vacio
681,MSMU4237701,5700011051 P10 P11 - 8000212 P4 - 213 P4 P6 - 242,,MSC,TPG,MEDLOG
682,MSMU4248645,8000192  P3 FSC GG,,MSC,CGSA,MEDLOG
683,MSMU4260050,5700011067 P4 - 5700011107 P3 GE,,MSC,TPG,MEDLOG
684,MSMU4267964,8000159 P9 -8000175 P3 FSC GE,,MSC,CGSA,MEDLOG
685,MSMU4274520,5700011107 P4 GG,,MSC,TPG,MEDLOG
686,MSMU4306119,5700011284 P2 GE,RE-05558,MSC,TPG,MEDLOG
687,MSMU4382253,8000214 P2 FSC GG,RE-54128,MSC,RE-54128,MEDLOG
688,MSMU4427682,5700011108 P1 - 11051 P9 - 8000171 P4 FSC GE,,MSC,TPG,MEDLOG
689,MSMU4429535,8000236 P1 FSC GE,RE-03395,MSC,RE-03395,MEDLOG
690,MSMU4608464,5700011108 P2 GG,RE-07749,MSC,RE-07749,MEDLOG
691,MSMU4638828,8000159 P9 -8000175 P3 FSC GE,,MSC,CGSA,MEDLOG
692,MSMU4797440,8000171 P3 - 213 P5 - 234 P2 FSC GG,,MSC,TPG,MEDLOG
693,MSMU4806011,8000229 P1 FSC GE,RE-06198,MSC,RE-06198,MEDLOG
694,MSMU4872040,8000192  P3 FSC GG,,MSC,CGSA,MEDLOG
695,MSMU4933572,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,RE-05174,MSC,RE-05174,MEDLOG
696,MSMU4963875,8000236 P4 FSC GE,RE-04220,MSC,RE-04220,MEDLOG
697,MSMU5003138,8000175 P4 FSC GE,,MSC,CGSA,MEDLOG
698,MSMU5014322,8000171 P3 - 213 P5 - 234 P2 FSC GG,,MSC,TPG,MEDLOG
699,MSMU5018061,8000234 P1 FSC GE,,MSC,TPG,MEDLOG
700,MSMU506933D,8000149 P8 FSC GE,,MSC,CGSA,MEDLOG
701,MSMU5103760,8000204 P1 FSC GG,,MSC,NAPORTEC,MEDLOG
702,MSMU5139274,8000215 P2 FSC GE,RE-06205,MSC,RE-06205,MEDLOG
703,MSMU5174969,8000214 P2 FSC GG,RE-54128,MSC,RE-54128,MEDLOG
704,MSMU5211321,8000192  P3 FSC GG,,MSC,CGSA,MEDLOG
705,MSMU5237985,8000149 P12 - 8000198 P2 FSC GE,,MSC,TPG,MEDLOG
706,MSMU5241516,5700011107 P4 GG,,MSC,TPG,MEDLOG
707,MSMU5326737,8000149 P6 - 175 P12 FSC GG,,MSC,CGSA,MEDLOG
708,MSMU5332405,8000212 P3 - 8000213 P2 FSC GG,,MSC,TPG,MEDLOG
709,MSMU5333470,8000175 P4 FSC GE,,MSC,CGSA,MEDLOG
710,MSMU5355782,8000198 P4 FSC GE,,MSC,TPG,MEDLOG
711,MSMU5363406,8000149 P10 - 5700011051 P3 FSC GE,,MSC,NAPORTEC,MEDLOG
712,MSMU5403896,5700011284 P1 P3 GE,RE-06848,MSC,RE-06848,MEDLOG
713,MSMU5444724,5700011051  P1 GG,,MSC,CGSA,MEDLOG
714,MSMU5483295,5700011284 P1 P3 GE,RE-06848,MSC,RE-06848,MEDLOG
715,MSMU5506810,8000198 P1-175 P13 FSC GE,,MSC,NAPORTEC,MEDLOG
716,MSMU5538823,5700011051 P10 P11 - 8000212 P4 - 213 P4 P6 - 242,,MSC,TPG,MEDLOG
717,MSMU5542675,8000251 P1 - 8000252 P1 FSC GE,RE-07932,MSC,TPG,MEDLOG
718,MSMU5556895,8000198 P4 FSC GE,,MSC,TPG,MEDLOG
719,MSMU5560513,8000214 P2 FSC GG,RE-54128,MSC,RE-54128,MEDLOG
720,MSMU5585738,5700011108 P1 - 11051 P9 - 8000171 P4 FSC GE,,MSC,TPG,MEDLOG
721,MSMU5615133,8000242 P2 P3 FSC GG,RE-05051,MSC,RE-05051,MEDLOG
722,MSMU5630544,5700011284 P2 GE,RE-05558,MSC,TPG,MEDLOG
723,MSMU5641554,8000149 P7- 171 P2 -175 P11 FSC GG,,MSC,CGSA,MEDLOG
724,MSMU5644506,5700011051 P10 P11 - 8000212 P4 - 213 P4 P6 - 242,,MSC,TPG,MEDLOG
725,MSMU5730878,8000198 P1-175 P13 FSC GE,,MSC,NAPORTEC,MEDLOG
726,MSMU5744465,8000212 P3 - 8000213 P2 FSC GG,,MSC,TPG,MEDLOG
727,MSMU5840601,8000236 P4 FSC GE,RE-04220,MSC,RE-04220,MEDLOG
728,MSMU5900547,8000149 P14 - 8000175 P15 FSC 8000198 P3 FSC GE,,MSC,TPG,MEDLOG
729,MSMU5908759,5700010798 P3 CARTULINA GE,,MSC,TPG,MEDLOG
730,MSMU5940581,8000212 P3 - 8000213 P2 FSC GG,,MSC,TPG,MEDLOG
731,MSMU6027279,5700011051  P1 GG,,MSC,CGSA,MEDLOG
732,MSMU6111116,8000212 P3 - 8000213 P2 FSC GG,,MSC,TPG,MEDLOG
733,MSMU6143561,5700011108 P1 - 11051 P9 - 8000171 P4 FSC GE,,MSC,TPG,MEDLOG
734,MSMU6185649,8000149 P6 - 175 P12 FSC GG,,MSC,CGSA,MEDLOG
735,MSMU6201729,8000171 P3 - 213 P5 - 234 P2 FSC GG,,MSC,TPG,MEDLOG
736,MSMU6214285,8000149 P7- 171 P2 -175 P11 FSC GG,,MSC,CGSA,MEDLOG
737,MSMU6224540,8000234 P1 FSC GE,,MSC,TPG,MEDLOG
738,MSMU6230075,5700011108 P1 - 11051 P9 - 8000171 P4 FSC GE,,MSC,TPG,MEDLOG
739,MSMU6308722,5700011051  P1 GG,,MSC,CGSA,MEDLOG
740,MSMU6432604,8000204 P1 FSC GG,,MSC,NAPORTEC,MEDLOG
741,MSMU6460247,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,RE-05174,MSC,RE-05174,MEDLOG
742,MSMU6491037,5700010588  P4,,MSC,CGSA,MEDLOG
743,MSMU6544100,8000204 P2 FSC GG,,MSC,NAPORTEC,MEDLOG
744,MSMU6569897,8000236 P1 FSC GE,RE-03395,MSC,RE-03395,MEDLOG
745,MSMU6604684,8000218 P1 FSC GE,RE-54910,MSC,RE-54910,MEDLOG
746,MSMU6646817,8000234 P1 FSC GE,,MSC,TPG,MEDLOG
747,MSMU6685813,8000149 P8 FSC GE,,MSC,CGSA,MEDLOG
748,MSMU6711208,8000213 P3 FSC GE,,MSC,TPG,MEDLOG
749,MSMU6730297,8000236 P4 FSC GE,RE-04220,MSC,RE-04220,MEDLOG
750,MSMU6740187,8000149 P10 - 5700011051 P3 FSC GE,,MSC,NAPORTEC,MEDLOG
751,MSMU6740232,8000212 P3 - 8000213 P2 FSC GG,,MSC,TPG,MEDLOG
752,MSMU6805760,5700011107 P4 GG,,MSC,TPG,MEDLOG
753,MSMU6806216,5700011108 P1 - 11051 P9 - 8000171 P4 FSC GE,,MSC,TPG,MEDLOG
754,MSMU6809302,8000218 P1 FSC GE,RE-54910,MSC,RE-54910,MEDLOG
755,MSMU6820214,8000198 P4 FSC GE,,MSC,TPG,MEDLOG
756,MSMU6862890,5700010588  P4,,MSC,CGSA,MEDLOG
757,MSMU6902483,8000234 P1 FSC GE,,MSC,TPG,MEDLOG
758,MSMU6920002,8000215 P1 FSC GG,RE-54392,MSC,RE-54392,MEDLOG
759,MSMU6929102,8000214 P2 FSC GG,RE-54128,MSC,RE-54128,MEDLOG
760,MSMU6968053,8000234 P1 FSC GE,,MSC,TPG,MEDLOG
761,MSMU6999455,8000251 P1 - 8000252 P1 FSC GE,RE-07932,MSC,TPG,MEDLOG
762,MSMU7056409,8000229 P1 FSC GE,RE-06198,MSC,RE-06198,MEDLOG
763,MSMU7140546,8000196 P1 FSC GE,,MSC,CGSA,MEDLOG
764,MSMU7181376,8000198 P4 FSC GE,,MSC,TPG,MEDLOG
765,MSMU7289057,5700011284 P2 GE,RE-05558,MSC,TPG,MEDLOG
766,MSMU7307926,8000198 P4 FSC GE,,MSC,TPG,MEDLOG
767,MSMU7445859,8000204 P2 FSC GG,,MSC,NAPORTEC,MEDLOG
768,MSMU7449936,5700011108 P1 - 11051 P9 - 8000171 P4 FSC GE,,MSC,TPG,MEDLOG
769,MSMU7489836,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,RE-05174,MSC,RE-05174,MEDLOG
770,MSMU7490190,5700011108 P1 - 11051 P9 - 8000171 P4 FSC GE,,MSC,TPG,MEDLOG
771,MSMU7630224,8000212 P3 - 8000213 P2 FSC GG,,MSC,TPG,MEDLOG
772,MSMU7695204,5700011284 P1 P3 GE,RE-06848,MSC,RE-06848,MEDLOG
773,MSMU7710422,5700011108 P2 GG,RE-07749,MSC,RE-07749,MEDLOG
774,MSMU7716987,5700010588  P4,,MSC,CGSA,MEDLOG
775,MSMU7791105,5700011108 P1 - 11051 P9 - 8000171 P4 FSC GE,,MSC,TPG,MEDLOG
776,MSMU7799488,5700011108 P2 GG,RE-07749,MSC,RE-07749,MEDLOG
777,MSMU7814026,8000171 P3 - 213 P5 - 234 P2 FSC GG,,MSC,TPG,MEDLOG
